,transaction_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,full_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,postcode,state,country,property_valuation
4933,4971,480,2017-04-27,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688.0,Darelle Ive,U,67.0,,Registered Nurse,Health,Mass Customer,N,Yes,,2320.0,NSW,Australia,6.0
5033,5072,2069,2017-11-09,0.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,37698.0,Sol Holdron,U,32.0,,Software Test Engineer IV,IT,Mass Customer,N,Yes,,4509.0,QLD,Australia,7.0
5058,5097,2642,2017-12-10,0.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,41848.0,Arabelle Rentelll,U,36.0,,VP Accounting,Financial Services,High Net Worth,N,No,,4106.0,QLD,Australia,5.0
5118,5157,1,2017-05-11,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,37823.0,Laraine Medendorp,F,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,2016.0,NSW,Australia,10.0
5157,5197,2697,2017-09-21,1.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,40410.0,Klarika Yerby,U,70.0,,Legal Assistant,IT,High Net Worth,N,No,,2067.0,NSW,Australia,12.0
5206,5247,685,2017-09-19,0.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42145.0,Booth Birkin,U,28.0,,Senior Developer,IT,Mass Customer,N,No,,2463.0,NSW,Australia,4.0
5260,5303,3223,2017-11-25,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,37838.0,Tiffi Wortt,U,44.0,,Database Administrator III,IT,Mass Customer,N,Yes,,2021.0,NSW,Australia,9.0
5389,5432,975,2017-02-09,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334.0,Goldarina Rzehorz,U,26.0,,Automation Specialist IV,IT,Mass Customer,N,No,,2760.0,NSW,Australia,8.0
5524,5567,3151,2017-10-09,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40649.0,Thorn Choffin,U,20.0,,Senior Developer,IT,Affluent Customer,N,Yes,,4055.0,QLD,Australia,8.0
5547,5590,168,2017-07-29,0.0,Approved,Norco Bicycles,Road,medium,medium,543.39,407.54,34556.0,Reggie Broggetti,U,8.0,,General Manager,IT,Affluent Customer,N,Yes,,3020.0,VIC,Australia,6.0
5556,5599,2999,2017-12-22,1.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,35667.0,Rinaldo Diggin,U,28.0,,Business Systems Development Analyst,IT,Affluent Customer,N,Yes,,3023.0,VIC,Australia,8.0
5652,5696,3151,2017-12-11,0.0,Approved,Solex,Road,medium,small,1703.52,1516.13,37838.0,Thorn Choffin,U,20.0,,Senior Developer,IT,Affluent Customer,N,Yes,,4055.0,QLD,Australia,8.0
5686,5730,2252,2017-02-06,0.0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,34996.0,Darcey Annis,U,31.0,,Teacher,IT,High Net Worth,N,Yes,,3183.0,VIC,Australia,7.0
5820,5865,1038,2017-11-28,1.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,34143.0,Fraser Acome,U,57.0,,Engineer I,Manufacturing,Mass Customer,N,Yes,,3809.0,VIC,Australia,6.0
5879,5924,57,2017-11-25,1.0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,37499.0,Abba Masedon,M,87.0,1988-06-13,Chief Design Engineer,,Mass Customer,N,Yes,13.0,4280.0,QLD,Australia,6.0
6019,6064,680,2017-09-15,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,35052.0,Gay Pickersgill,U,22.0,,,IT,High Net Worth,N,Yes,,2209.0,NSW,Australia,7.0
6167,6215,799,2017-03-19,1.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,36145.0,Harland Spilisy,U,39.0,,Programmer I,IT,Mass Customer,N,Yes,,2756.0,NSW,Australia,8.0
6214,6263,685,2017-07-13,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586.0,Booth Birkin,U,28.0,,Senior Developer,IT,Mass Customer,N,No,,2463.0,NSW,Australia,4.0
6217,6266,1990,2017-04-24,1.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553.0,Mira Askham,U,9.0,,Senior Financial Analyst,Financial Services,High Net Worth,N,No,,2567.0,NSW,Australia,8.0
6488,6541,2697,2017-04-25,1.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002.0,Klarika Yerby,U,70.0,,Legal Assistant,IT,High Net Worth,N,No,,2067.0,NSW,Australia,12.0
6532,6585,1351,2017-02-28,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079.0,Lorettalorna ,U,32.0,,Office Assistant IV,IT,High Net Worth,N,No,,3564.0,VIC,Australia,2.0
6535,6588,451,2017-04-06,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,Marlow Flowerdew,U,37.0,,Quality Control Specialist,IT,High Net Worth,N,No,,3192.0,VIC,Australia,10.0
6595,6650,1477,2017-01-20,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,37823.0,Leo Balharry,U,42.0,,Actuary,Financial Services,Mass Customer,N,Yes,,2440.0,NSW,Australia,3.0
6640,6696,267,2017-08-22,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,39298.0,Edgar Buckler,U,53.0,,,IT,High Net Worth,N,No,,2768.0,NSW,Australia,10.0
6688,6744,1990,2017-02-19,,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750.0,Mira Askham,U,9.0,,Senior Financial Analyst,Financial Services,High Net Worth,N,No,,2567.0,NSW,Australia,8.0
6723,6779,2295,2017-12-13,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,40336.0,Farris Hazelby,U,35.0,,Internal Auditor,IT,Mass Customer,N,Yes,,2156.0,NSW,Australia,12.0
6776,6832,3288,2017-05-11,1.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,37838.0,Fair Dewen,U,47.0,,Engineer III,IT,High Net Worth,N,No,,2770.0,NSW,Australia,9.0
6821,6877,168,2017-03-24,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,42172.0,Reggie Broggetti,U,8.0,,General Manager,IT,Affluent Customer,N,Yes,,3020.0,VIC,Australia,6.0
7218,7281,3151,2017-06-02,1.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,41434.0,Thorn Choffin,U,20.0,,Senior Developer,IT,Affluent Customer,N,Yes,,4055.0,QLD,Australia,8.0
7222,7285,975,2017-09-10,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002.0,Goldarina Rzehorz,U,26.0,,Automation Specialist IV,IT,Mass Customer,N,No,,2760.0,NSW,Australia,8.0
7237,7300,1683,2017-03-28,0.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,37823.0,Brenn Bacon,U,72.0,,Budget/Accounting Analyst I,IT,Mass Customer,N,Yes,,2028.0,NSW,Australia,12.0
7276,7339,454,2017-11-11,0.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,42696.0,Eugenie Domenc,U,58.0,,Research Nurse,Health,Affluent Customer,N,Yes,,4221.0,QLD,Australia,10.0
7296,7360,1773,2017-04-11,0.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,35160.0,Nickolas Guittet,U,82.0,,,IT,Mass Customer,N,Yes,,2114.0,NSW,Australia,8.0
7300,7364,950,2017-11-28,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,Bret Ivakhnov,U,24.0,,Recruiter,IT,High Net Worth,N,Yes,,4218.0,QLD,Australia,5.0
7321,7385,799,2017-03-24,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,40670.0,Harland Spilisy,U,39.0,,Programmer I,IT,Mass Customer,N,Yes,,2756.0,NSW,Australia,8.0
7347,7411,2165,2017-07-07,0.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707.0,Marlie Teesdale,U,16.0,,Civil Engineer,Manufacturing,Affluent Customer,N,No,,3030.0,VIC,Australia,6.0
7445,7509,2341,2017-12-14,1.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,37337.0,Caterina Scedall,U,41.0,,Web Designer II,IT,Mass Customer,N,Yes,,3806.0,VIC,Australia,9.0
7463,7527,3222,2017-01-28,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,Caralie Sellors,U,40.0,,Senior Editor,IT,Affluent Customer,N,No,,4030.0,QLD,Australia,9.0
7526,7590,2697,2017-02-15,1.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,40410.0,Klarika Yerby,U,70.0,,Legal Assistant,IT,High Net Worth,N,No,,2067.0,NSW,Australia,12.0
7550,7615,2165,2017-06-05,1.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002.0,Marlie Teesdale,U,16.0,,Civil Engineer,Manufacturing,Affluent Customer,N,No,,3030.0,VIC,Australia,6.0
7557,7622,599,2017-06-21,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167.0,Ernestus Cruden,U,48.0,,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,,3068.0,VIC,Australia,8.0
7563,7628,1210,2017-02-13,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,Shandie Sprigg,U,81.0,,Programmer II,IT,Mass Customer,N,No,,2230.0,NSW,Australia,9.0
7693,7761,1918,2017-06-06,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,Devin Sandeson,U,83.0,,Staff Accountant II,IT,Affluent Customer,N,No,,2261.0,NSW,Australia,8.0
7705,7773,2165,2017-04-12,0.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145.0,Marlie Teesdale,U,16.0,,Civil Engineer,Manufacturing,Affluent Customer,N,No,,3030.0,VIC,Australia,6.0
7726,7795,2000,2017-11-16,0.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,37220.0,Kain Rene,U,68.0,,Assistant Professor,IT,High Net Worth,N,Yes,,2147.0,NSW,Australia,8.0
7727,7796,1990,2017-12-21,0.0,Cancelled,Giant Bicycles,Standard,medium,medium,230.91,173.18,39031.0,Mira Askham,U,9.0,,Senior Financial Analyst,Financial Services,High Net Worth,N,No,,2567.0,NSW,Australia,8.0
7728,7797,57,2017-11-10,1.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,33888.0,Abba Masedon,M,87.0,1988-06-13,Chief Design Engineer,,Mass Customer,N,Yes,13.0,4280.0,QLD,Australia,6.0
7735,7804,1990,2017-09-08,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991.0,Mira Askham,U,9.0,,Senior Financial Analyst,Financial Services,High Net Worth,N,No,,2567.0,NSW,Australia,8.0
7740,7809,2205,2017-09-21,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,35455.0,Birk Elphey,U,76.0,,Accounting Assistant III,IT,Mass Customer,N,No,,3101.0,VIC,Australia,8.0
7843,7913,1044,2017-01-23,1.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,33429.0,Frederico Whilder,U,4.0,,Food Chemist,Health,High Net Worth,N,No,,4570.0,QLD,Australia,1.0
7928,7999,1780,2017-07-30,0.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,37838.0,Maude Tixier,U,52.0,,Research Associate,IT,Mass Customer,N,No,,3976.0,VIC,Australia,3.0
7960,8031,3288,2017-04-11,1.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553.0,Fair Dewen,U,47.0,,Engineer III,IT,High Net Worth,N,No,,2770.0,NSW,Australia,9.0
7989,8060,1244,2017-04-16,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,38216.0,Glenn Tinham,U,80.0,,Financial Analyst,Financial Services,Mass Customer,N,Yes,,2127.0,NSW,Australia,8.0
8100,8172,1806,2017-11-23,1.0,Approved,Solex,Standard,high,medium,1024.66,614.8,35378.0,Gil De Gregorio,U,95.0,,Software Test Engineer IV,IT,Mass Customer,N,No,,4701.0,QLD,Australia,1.0
8110,8182,2252,2017-06-02,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,40303.0,Darcey Annis,U,31.0,,Teacher,IT,High Net Worth,N,Yes,,3183.0,VIC,Australia,7.0
8119,8191,267,2017-01-18,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0,Edgar Buckler,U,53.0,,,IT,High Net Worth,N,No,,2768.0,NSW,Australia,10.0
8124,8196,1351,2017-12-13,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,37539.0,Lorettalorna ,U,32.0,,Office Assistant IV,IT,High Net Worth,N,No,,3564.0,VIC,Australia,2.0
8188,8261,513,2017-12-16,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,Kienan Soar,U,30.0,,Tax Accountant,IT,Mass Customer,N,No,,3126.0,VIC,Australia,12.0
8415,8493,1780,2017-11-22,1.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,33429.0,Maude Tixier,U,52.0,,Research Associate,IT,Mass Customer,N,No,,3976.0,VIC,Australia,3.0
8434,8512,2335,2017-08-06,1.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,33259.0,Payton Sheach,U,42.0,,Account Executive,IT,Mass Customer,N,No,,2076.0,NSW,Australia,9.0
8444,8522,892,2017-06-13,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,35378.0,Conroy Healy,U,22.0,,Office Assistant II,IT,Mass Customer,N,Yes,,3765.0,VIC,Australia,8.0
8484,8563,1780,2017-06-14,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,41533.0,Maude Tixier,U,52.0,,Research Associate,IT,Mass Customer,N,No,,3976.0,VIC,Australia,3.0
8494,8573,950,2017-07-13,1.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40672.0,Bret Ivakhnov,U,24.0,,Recruiter,IT,High Net Worth,N,Yes,,4218.0,QLD,Australia,5.0
8553,8635,3343,2017-10-13,1.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,38339.0,Cristabel Bim,U,3.0,,Recruiter,IT,Mass Customer,N,Yes,,3228.0,VIC,Australia,8.0
8608,8690,1773,2017-07-24,1.0,Approved,Solex,Touring,medium,large,2083.94,675.03,34079.0,Nickolas Guittet,U,82.0,,,IT,Mass Customer,N,Yes,,2114.0,NSW,Australia,8.0
8681,8763,799,2017-07-01,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560.0,Harland Spilisy,U,39.0,,Programmer I,IT,Mass Customer,N,Yes,,2756.0,NSW,Australia,8.0
8700,8782,2696,2017-02-09,0.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,37499.0,Isabelle Bursnoll,U,42.0,,Social Worker,Health,Mass Customer,N,Yes,,4031.0,QLD,Australia,8.0
8715,8797,1990,2017-12-20,1.0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,33364.0,Mira Askham,U,9.0,,Senior Financial Analyst,Financial Services,High Net Worth,N,No,,2567.0,NSW,Australia,8.0
8741,8823,2540,2017-10-28,1.0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,40672.0,Donavon ,U,14.0,,Executive Secretary,IT,Mass Customer,N,Yes,,2560.0,NSW,Australia,7.0
8792,8874,1938,2017-03-20,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,42458.0,Austin Toopin,U,47.0,,Automation Specialist IV,IT,Mass Customer,N,Yes,,4670.0,QLD,Australia,2.0
8798,8880,2295,2017-08-30,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,34170.0,Farris Hazelby,U,35.0,,Internal Auditor,IT,Mass Customer,N,Yes,,2156.0,NSW,Australia,12.0
8891,8975,3086,2017-11-18,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,Pieter Gadesby,U,18.0,,Biostatistician I,IT,High Net Worth,N,No,,4116.0,QLD,Australia,7.0
8917,9001,2414,2017-12-26,0.0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,40672.0,Basile Bowlas,U,18.0,,Registered Nurse,Health,Mass Customer,N,Yes,,3802.0,VIC,Australia,7.0
8953,9037,892,2017-01-02,0.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,41064.0,Conroy Healy,U,22.0,,Office Assistant II,IT,Mass Customer,N,Yes,,3765.0,VIC,Australia,8.0
8960,9044,34,2017-02-13,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,Jephthah Bachmann,U,59.0,1843-12-21,Legal Assistant,IT,Affluent Customer,N,No,20.0,4005.0,QLD,Australia,8.0
8993,9077,3151,2017-03-25,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,37220.0,Thorn Choffin,U,20.0,,Senior Developer,IT,Affluent Customer,N,Yes,,4055.0,QLD,Australia,8.0
9011,9095,526,2017-07-29,1.0,Approved,Solex,Standard,high,medium,748.17,448.9,37337.0,Ardelle ,U,9.0,,Social Worker,Health,Mass Customer,N,Yes,,2068.0,NSW,Australia,12.0
9061,9145,3343,2017-01-27,0.0,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,37823.0,Cristabel Bim,U,3.0,,Recruiter,IT,Mass Customer,N,Yes,,3228.0,VIC,Australia,8.0
9087,9171,2341,2017-04-15,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,35470.0,Caterina Scedall,U,41.0,,Web Designer II,IT,Mass Customer,N,Yes,,3806.0,VIC,Australia,9.0
9106,9191,2999,2017-05-02,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,34244.0,Rinaldo Diggin,U,28.0,,Business Systems Development Analyst,IT,Affluent Customer,N,Yes,,3023.0,VIC,Australia,8.0
9142,9227,267,2017-01-23,0.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,41848.0,Edgar Buckler,U,53.0,,,IT,High Net Worth,N,No,,2768.0,NSW,Australia,10.0
9192,9279,2647,2017-10-31,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206.0,Marcelia Blannin,U,1.0,,Physical Therapy Assistant,IT,High Net Worth,N,No,,2770.0,NSW,Australia,7.0
9234,9321,1477,2017-05-03,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,41047.0,Leo Balharry,U,42.0,,Actuary,Financial Services,Mass Customer,N,Yes,,2440.0,NSW,Australia,3.0
9244,9332,685,2017-09-09,1.0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,40487.0,Booth Birkin,U,28.0,,Senior Developer,IT,Mass Customer,N,No,,2463.0,NSW,Australia,4.0
9299,9387,3223,2017-05-25,1.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,41533.0,Tiffi Wortt,U,44.0,,Database Administrator III,IT,Mass Customer,N,Yes,,2021.0,NSW,Australia,9.0
9302,9390,1938,2017-05-15,0.0,Approved,Solex,Standard,medium,medium,1483.2,99.59,33879.0,Austin Toopin,U,47.0,,Automation Specialist IV,IT,Mass Customer,N,Yes,,4670.0,QLD,Australia,2.0
9359,9448,2999,2017-10-26,0.0,Approved,Solex,Standard,medium,medium,1483.2,99.59,33879.0,Rinaldo Diggin,U,28.0,,Business Systems Development Analyst,IT,Affluent Customer,N,Yes,,3023.0,VIC,Australia,8.0
9362,9451,453,2017-09-02,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,35455.0,Cornelius Yarmouth,U,81.0,,Assistant Professor,IT,High Net Worth,N,No,,2170.0,NSW,Australia,10.0
9426,9517,2069,2017-08-08,0.0,Approved,Solex,Standard,medium,medium,478.16,298.72,41047.0,Sol Holdron,U,32.0,,Software Test Engineer IV,IT,Mass Customer,N,Yes,,4509.0,QLD,Australia,7.0
9455,9546,996,2017-09-11,0.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,42688.0,Aura Bemlott,U,67.0,,Assistant Manager,IT,Mass Customer,N,Yes,,2194.0,NSW,Australia,10.0
9464,9555,1174,2017-12-04,1.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,33259.0,Shellysheldon Gooderridge,U,9.0,,Executive Secretary,IT,Mass Customer,N,No,,2529.0,NSW,Australia,7.0
9533,9624,2335,2017-12-19,1.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,Payton Sheach,U,42.0,,Account Executive,IT,Mass Customer,N,No,,2076.0,NSW,Australia,9.0
9549,9641,2165,2017-06-18,1.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,42226.0,Marlie Teesdale,U,16.0,,Civil Engineer,Manufacturing,Affluent Customer,N,No,,3030.0,VIC,Australia,6.0
9617,9709,1244,2017-10-06,0.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,41345.0,Glenn Tinham,U,80.0,,Financial Analyst,Financial Services,Mass Customer,N,Yes,,2127.0,NSW,Australia,8.0
9629,9722,1044,2017-01-17,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,42295.0,Frederico Whilder,U,4.0,,Food Chemist,Health,High Net Worth,N,No,,4570.0,QLD,Australia,1.0
9667,9761,290,2017-07-15,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,41533.0,Giorgio Kevane,U,42.0,,Senior Sales Associate,IT,Mass Customer,N,No,,2766.0,NSW,Australia,9.0
9691,9785,1,2017-01-05,0.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,37873.0,Laraine Medendorp,F,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,2016.0,NSW,Australia,10.0
9698,9792,34,2017-06-25,1.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,40779.0,Jephthah Bachmann,U,59.0,1843-12-21,Legal Assistant,IT,Affluent Customer,N,No,20.0,4005.0,QLD,Australia,8.0
9710,9804,1990,2017-10-05,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,Mira Askham,U,9.0,,Senior Financial Analyst,Financial Services,High Net Worth,N,No,,2567.0,NSW,Australia,8.0
9711,9805,3086,2017-07-03,1.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784.0,Pieter Gadesby,U,18.0,,Biostatistician I,IT,High Net Worth,N,No,,4116.0,QLD,Australia,7.0
9835,9929,799,2017-12-20,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,34071.0,Harland Spilisy,U,39.0,,Programmer I,IT,Mass Customer,N,Yes,,2756.0,NSW,Australia,8.0
9890,9984,582,2017-07-20,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334.0,Rhoda McKeown,U,21.0,,Staff Scientist,IT,Affluent Customer,N,No,,2283.0,NSW,Australia,4.0
9909,10004,2963,2017-04-08,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,41245.0,Christin Fricke,U,17.0,,Safety Technician II,IT,Affluent Customer,N,Yes,,2114.0,NSW,Australia,10.0
9932,10027,1628,2017-08-08,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37499.0,Hermione Brereton,U,13.0,,Assistant Manager,IT,Mass Customer,N,No,,2528.0,NSW,Australia,6.0
9950,10046,2697,2017-04-11,1.0,Approved,Solex,Standard,medium,large,202.62,151.96,42458.0,Klarika Yerby,U,70.0,,Legal Assistant,IT,High Net Worth,N,No,,2067.0,NSW,Australia,12.0
10013,10109,453,2017-07-18,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586.0,Cornelius Yarmouth,U,81.0,,Assistant Professor,IT,High Net Worth,N,No,,2170.0,NSW,Australia,10.0
10088,10184,3298,2017-04-21,0.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,34071.0,Christine Baignard,U,1.0,,VP Quality Control,IT,Affluent Customer,N,Yes,,3064.0,VIC,Australia,7.0
10169,10265,892,2017-09-18,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,34527.0,Conroy Healy,U,22.0,,Office Assistant II,IT,Mass Customer,N,Yes,,3765.0,VIC,Australia,8.0
10254,10350,892,2017-06-09,0.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,34586.0,Conroy Healy,U,22.0,,Office Assistant II,IT,Mass Customer,N,Yes,,3765.0,VIC,Australia,8.0
10332,10428,1806,2017-03-13,0.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42145.0,Gil De Gregorio,U,95.0,,Software Test Engineer IV,IT,Mass Customer,N,No,,4701.0,QLD,Australia,1.0
10379,10475,3365,2017-10-20,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,Karlens Chaffyn,U,29.0,,Engineer III,IT,Mass Customer,N,No,,2766.0,NSW,Australia,9.0
10394,10490,799,2017-07-27,1.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,37539.0,Harland Spilisy,U,39.0,,Programmer I,IT,Mass Customer,N,Yes,,2756.0,NSW,Australia,8.0
10413,10509,1773,2017-06-01,0.0,Approved,Solex,Standard,high,medium,748.17,448.9,35052.0,Nickolas Guittet,U,82.0,,,IT,Mass Customer,N,Yes,,2114.0,NSW,Australia,8.0
10428,10524,2426,2017-12-14,1.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,36334.0,Yancy Ovett,U,64.0,,,IT,Affluent Customer,N,Yes,,2145.0,NSW,Australia,10.0
10485,10582,2341,2017-07-13,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167.0,Caterina Scedall,U,41.0,,Web Designer II,IT,Mass Customer,N,Yes,,3806.0,VIC,Australia,9.0
10499,10596,2335,2017-10-29,1.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,37626.0,Payton Sheach,U,42.0,,Account Executive,IT,Mass Customer,N,No,,2076.0,NSW,Australia,9.0
10567,10664,983,2017-09-30,1.0,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,38258.0,Shaylyn Riggs,U,49.0,,,IT,Affluent Customer,N,No,,2027.0,NSW,Australia,11.0
10640,10737,1740,2017-11-11,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,34170.0,Faythe Janaszewski,U,83.0,,Research Associate,IT,Mass Customer,N,Yes,,3796.0,VIC,Australia,8.0
10660,10757,839,2017-05-22,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784.0,Charis Greaves,U,14.0,,Structural Analysis Engineer,IT,Mass Customer,N,Yes,,2880.0,NSW,Australia,1.0
10684,10781,2642,2017-03-05,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41701.0,Arabelle Rentelll,U,36.0,,VP Accounting,Financial Services,High Net Worth,N,No,,4106.0,QLD,Australia,5.0
10696,10793,548,2017-12-09,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,38206.0,Georgie Cudbertson,U,84.0,,,IT,High Net Worth,N,Yes,,4127.0,QLD,Australia,7.0
10699,10796,975,2017-10-30,1.0,Approved,Solex,Standard,low,medium,1289.85,74.51,39427.0,Goldarina Rzehorz,U,26.0,,Automation Specialist IV,IT,Mass Customer,N,No,,2760.0,NSW,Australia,8.0
10712,10809,1210,2017-10-14,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,37626.0,Shandie Sprigg,U,81.0,,Programmer II,IT,Mass Customer,N,No,,2230.0,NSW,Australia,9.0
